	x	y	w	h
56	2563	4418.0	840.0	70.0
57	983	4428.0	417.0	60.0
58	427	4484.0	73.0	18.0
59	2750	4561.0	651.0	69.0
60	855	4567.0	904.0	79.0
61	2483	4585.0	162.0	18.0
62	2217	4675.0	1236.0	23.0
63	2026	4679.0	151.0	20.0
64	2595	4750.0	804.0	71.0
65	2055	4773.0	449.0	47.0
66	2177	4868.0	1202.0	25.0
67	1866	4873.0	249.0	20.0
68	2854	4917.0	598.0	21.0
69	1843	4921.0	976.0	22.0
70	855	5052.0	959.0	89.0
71	929	5244.0	1504.0	81.0
72	2569	5339.0	820.0	66.0
73	934	5343.0	1437.0	78.0
74	3357	5682.0	344.0	55.0
75	3363	5869.0	771.0	71.0
76	0	5895.0	145.0	45.0
77	1048	5916.0	2199.0	24.0
78	[[0, 0, 2259, 26], [3350, 75, 642, 88], [3791, 199, 150, 34], [3804, 235, 154, 49], [3751, 285, 198, 104], [2916, 295, 785, 98], [1276, 626, 1863, 81], [2993, 708, 13, 17], [2189, 709, 676, 20], [1280, 713, 791, 22], [1211, 779, 2214, 73], [1209, 849, 2112, 26], [1501, 1020, 1438, 96], [2670, 1088, 262, 21], [855, 1218, 2660, 44], [2934, 1286, 80, 19], [851, 1455, 1284, 66], [855, 1527, 1298, 28], [861, 1647, 1550, 82], [2522, 1785, 911, 68], [934, 1792, 1028, 64], [861, 1931, 2576, 85], [3174, 2034, 18, 17], [77, 2085, 277, 112], [2230, 2093, 1259, 22], [2107, 2162, 1328, 112], [2111, 2287, 1300, 24], [853, 2465, 930, 66], [2671, 2495, 151, 22], [878, 2533, 907, 27], [867, 2646, 1525, 89], [985, 2752, 1353, 87], [981, 2833, 1284, 96], [2510, 2841, 907, 69], [1389, 2941, 151, 17], [2723, 2987, 696, 65], [859, 2993, 916, 82], [2507, 3009, 168, 20], [2506, 3129, 913, 70], [861, 3135, 1492, 80], [855, 3268, 1449, 93], [983, 3377, 1426, 81], [983, 3458, 1114, 87], [2619, 3469, 800, 64], [2484, 3609, 935, 70], [855, 3614, 684, 81], [88, 3663, 267, 136], [2733, 3756, 686, 65], [855, 3761, 1403, 80], [2494, 3778, 165, 17], [855, 3900, 1498, 80], [981, 3991, 1398, 88], [983, 4091, 1290, 81], [981, 4177, 690, 90], [2623, 4183, 796, 69], [855, 4328, 1514, 81], [2563, 4418, 840, 70], [983, 4428, 417, 60], [427, 4484, 73, 18], [2750, 4561, 651, 69], [855, 4567, 904, 79], [2483, 4585, 162, 18], [2217, 4675, 1236, 23], [2026, 4679, 151, 20], [2595, 4750, 804, 71], [2055, 4773, 449, 47], [2177, 4868, 1202, 25], [1866, 4873, 249, 20], [2854, 4917, 598, 21], [1843, 4921, 976, 22], [855, 5052, 959, 89], [929, 5244, 1504, 81], [2569, 5339, 820, 66], [934, 5343, 1437, 78], [3357, 5682, 344, 55], [3363, 5869, 771, 71], [0, 5895, 145, 45], [1048, 5916, 2199, 24], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]], [[...]]]			
